"filename", "language", "TypeScript", "JSON", "JavaScript", "SCSS", "TypeScript React", "XML", "JavaScript React", "YAML", "Docker", "comment", "blank", "total"
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\reuters color.svg", "XML", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -1, -7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\voa color.svg", "XML", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\As seen in\voa grey.svg", "XML", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\candidates.svg", "XML", 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, -1, -87
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\email.svg", "XML", 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, -1, -5
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\ourvalues.svg", "XML", 0, 0, 0, 0, 0, -49, 0, 0, 0, 0, -1, -50
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurValuesIcons\clientconfidentiality.svg", "XML", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -1, -7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurValuesIcons\conflictsofinterest.svg", "XML", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -1, -7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurValuesIcons\customercomplaints.svg", "XML", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -1, -7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurValuesIcons\customersuitability.svg", "XML", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -1, -7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\SalesNTrading\ouraproach.svg", "XML", 0, 0, 0, 0, 0, -230, 0, 0, 0, 0, -1, -231
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\SalesNTrading\ourclients.svg", "XML", 0, 0, 0, 0, 0, -137, 0, 0, 0, 0, -1, -138
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\SalesNTrading\ourservice.svg", "XML", 0, 0, 0, 0, 0, -224, 0, 0, 0, 0, -1, -225
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AccordianComponent\AccordianComponent.tsx", "TypeScript React", 0, 0, 0, 0, 3, 0, 0, 0, 0, -1, -1, 1
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\TestDemo.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 130, 0, 0, 26, 18, 174
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\ServiceCard\ServiceCard.tsx", "TypeScript React", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\LineChartComponent\DoubleLineChartComponent.tsx", "TypeScript React", 0, 0, 0, 0, 139, 0, 0, 0, 0, 2, 6, 147
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\LineChartComponent\LineChartComponent.tsx", "TypeScript React", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, -2, 34
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Footer\Footer.tsx", "TypeScript React", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 47
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSearch\HeroSearch.tsx", "TypeScript React", 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\HeroSection.tsx", "TypeScript React", 0, 0, 0, 0, 29, 0, 0, 0, 0, 11, 4, 44
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroTextArea\HeroTextArea.tsx", "TypeScript React", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\LoginForm\LoginModal.tsx", "TypeScript React", 0, 0, 0, 0, 210, 0, 0, 0, 0, 1, 12, 223
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Navbar\Navbar.tsx", "TypeScript React", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 3, 15
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\AboutEmfi\AboutEmfi.tsx", "TypeScript React", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\AboutValues\AboutValues.tsx", "TypeScript React", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\AsSeenIn\AsSeenIn.tsx", "TypeScript React", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\DefaultLayout\DefaultLayout.tsx", "TypeScript React", 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 0, 20
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\MapContainer\MapContainer.tsx", "TypeScript React", 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 0, 7
